Freq.,Vu_out/Vu_in
2.20800473301886e+000,-5.72746098485030e+000,1.64144605258764e+002
2.21309470960560e+000,-5.68801934436729e+000,1.64143226430339e+002
2.21819641980018e+000,-5.64857703221647e+000,1.64141766018858e+002
2.22330989065136e+000,-5.60913405961338e+000,1.64140224007710e+002
2.22843514927026e+000,-5.56969043805273e+000,1.64138600380013e+002
2.23357222283049e+000,-5.53024617878109e+000,1.64136895118688e+002
2.23872113856830e+000,-5.49080129316993e+000,1.64135108206071e+002
2.24388192378272e+000,-5.45135579251966e+000,1.64133239624546e+002
2.24905460583574e+000,-5.41190968818639e+000,1.64131289355994e+002
2.25423921215239e+000,-5.37246299146048e+000,1.64129257381755e+002
2.25943577022093e+000,-5.33301571358826e+000,1.64127143683289e+002
