  Time                  V(R3:1)               V(V5:+)               V(U1:OUT)            
  6.426713699341e-003  1.888740927014e-001  2.744132704570e-001  -4.586178292492e+000  
  6.451713699341e-003  1.597517573731e-001  2.998551114363e-001  -4.628547466737e+000  
  6.476713699341e-003  1.291581354735e-001  2.668031824084e-001  -4.073922719813e+000  
  6.501713699341e-003  9.784654350831e-002  1.946188551355e-001  -3.076512098218e+000  
  6.526713699341e-003  6.658797678883e-002  1.255867295430e-001  -2.044998500193e+000  
  6.551713699341e-003  3.615212496897e-002  1.001448885637e-001  -1.408080692824e+000  
  6.576713699341e-003  7.288419731321e-003  1.331968175915e-001  -1.367390492020e+000  
  6.601713699341e-003  -1.929241870802e-002  2.053811448645e-001  -1.783255070169e+000  
  6.626713699341e-003  -4.293588188993e-002  2.744132704570e-001  -2.261013223107e+000  
  6.651713699341e-003  -6.305978928272e-002  2.998551114363e-001  -2.385738993805e+000  
  6.676713699341e-003  -7.916862349895e-002  2.668031824085e-001  -1.968653156289e+000  
  6.701713699341e-003  -9.086573157807e-002  1.946188551355e-001  -1.160584805395e+000  
  6.726713699341e-003  -9.786309189869e-002  1.255867295430e-001  -3.656774038744e-001  
  6.745771926880e-003  -9.992943015335e-002  1.008808786723e-001  -4.327219103070e-002  
  6.767295974731e-003  -9.882016205138e-002  1.144028344059e-001  -1.008591843484e-001  
  6.787034744263e-003  -9.460963854281e-002  1.603854096221e-001  -5.548303210620e-001  
  6.809352249145e-003  -8.625340510264e-002  2.289600640421e-001  -1.295538724921e+000  
  6.834352249145e-003  -7.256133195793e-002  2.881584113397e-001  -2.074954818636e+000  
  6.859352249145e-003  -5.462022612219e-002  2.957147569118e-001  -2.401593289892e+000  
  6.884352249145e-003  -3.287185716421e-002  2.472026960041e-001  -2.203622652859e+000  
  6.909352249145e-003  -7.851742106442e-003  1.710399359579e-001  -1.703574535906e+000  
  6.934352249145e-003  1.982404078140e-002  1.118415886603e-001  -1.339869090154e+000  
  6.959352249145e-003  4.947402187396e-002  1.042852430882e-001  -1.482558934202e+000  
  6.984352249145e-003  8.036812023409e-002  1.527973039959e-001  -2.191962747964e+000  
  7.009352249145e-003  1.117456206285e-001  2.289600640421e-001  -3.256479542518e+000  
  7.034352249145e-003  1.428339048616e-001  2.881584113397e-001  -4.202462158495e+000  
  7.059352249145e-003  1.728674761994e-001  2.957147569118e-001  -4.665707175832e+000  
  7.084352249145e-003  2.011068084399e-001  2.472026960041e-001  -4.535460283910e+000  
  7.109352249145e-003  2.268565555024e-001  1.710399359579e-001  -4.053346056426e+000  
  7.134352249145e-003  2.494826731556e-001  1.118415886603e-001  -3.645276464510e+000  
  7.159352249145e-003  2.684280312911e-001  1.042852430882e-001  -3.681556371419e+000  
  7.184352249145e-003  2.832261323157e-001  1.527973039958e-001  -4.249094892821e+000  
  7.209352249145e-003  2.935125978700e-001  2.289600640421e-001  -5.102314215618e+000  
  7.234352249145e-003  2.990341410333e-001  2.881584113397e-001  -5.802422214036e+000  
  7.259352249145e-003  2.996548030879e-001  2.957147569118e-001  -5.973970353670e+000  
  7.284352249145e-003  2.953593012741e-001  2.472026960042e-001  -5.523663720243e+000  
  7.309352249145e-003  2.862534051026e-001  1.710399359579e-001  -4.694997825215e+000  
  7.334352249145e-003  2.725613319579e-001  1.118415886603e-001  -3.925737909480e+000  
  7.359352249145e-003  2.546202261222e-001  1.042852430882e-001  -3.593180030209e+000  
  7.384352249145e-003  2.328718571642e-001  1.527973039958e-001  -3.794608851011e+000  
  7.409352249145e-003  2.078517421064e-001  2.289600640421e-001  -4.292634123099e+000  
  7.434352249145e-003  1.801759592186e-001  2.881584113397e-001  -4.657520752588e+000  
  7.459352249145e-003  1.505259781260e-001  2.957147569118e-001  -4.521998267199e+000  
  7.484352249145e-003  1.196318797659e-001  2.472026960042e-001  -3.800535277060e+000  
  7.509352249145e-003  8.825437937148e-002  1.710399359579e-001  -2.743069562557e+000  
